pl_name,hostname,tic_id,gaia_id,discoverymethod,disc_year,disc_locale,st_temp,st_log_luminosity_sun,st_log_temp
kap And b,kap And,TIC 176945734,Gaia DR2 1926476042677456768,Imaging,2012,Ground,10900,1.83,1.073276252
HD 100546 b,HD 100546,TIC 280773136,Gaia DR2 5233604915060520576,Imaging,2014,Ground,10500,1.5,1.068959889
KELT-9 b,KELT-9,TIC 16740101,Gaia DR2 2064327278651198336,Transit,2017,Ground,10170,1.724,1.065273242
HD 97048 b,HD 97048,TIC 454291762,Gaia DR2 5201128124701636864,Disk Kinematics,2019,Ground,10000,1.602,1.0633271
HIP 78530 b,HIP 78530,TIC 1259690584,Gaia DR2 6243537406369453824,Imaging,2010,Ground,8738,1.368,1.047752559
KELT-20 b,KELT-20,TIC 69679391,Gaia DR2 2033123654092592384,Transit,2017,Ground,8720,1.104,1.047514492
WASP-178 b,WASP-178,TIC 160708862,Gaia DR2 6003809889735481856,Transit,2019,Ground,8640,1.215,1.046450436
HAT-P-70 b,HAT-P-70,TIC 399870368,Gaia DR2 3291455819447952768,Transit,2019,Ground,8450,1.223,1.043883289
bet Pic b,bet Pic,TIC 270577175,Gaia DR2 4792774797545105664,Imaging,2008,Ground,8038.68,0.953,1.038122191
HATS-70 b,HATS-70,TIC 98545929,Gaia DR2 5605119586158973440,Transit,2019,Ground,7930,1.079,1.036550713
MASCARA-4 b,MASCARA-4,TIC 371443216,Gaia DR2 5245968236116294016,Transit,2020,Ground,7800,1.087,1.034642417
TOI-1431 b,TOI-1431,TIC 375506058,Gaia DR2 2188906825165621120,Transit,2021,Space,7690,1.068,1.033002696
KELT-21 b,KELT-21,TIC 203189770,Gaia DR2 2054523105274216704,Transit,2018,Ground,7598,0.905,1.03161318
HD 95086 b,HD 95086,TIC 399637637,Gaia DR2 5231963962676292224,Imaging,2013,Ground,7595,0.821,1.031567587
MASCARA-1 b,MASCARA-1,TIC 354619337,Gaia DR2 1744911763437512064,Transit,2017,Ground,7554,1.176,1.030942671
KELT-19 A b,KELT-19 A,TIC 425206121,Gaia DR2 3142847477107193344,Transit,2017,Ground,7500,0.978,1.030114414
HAT-P-57 b,HAT-P-57,TIC 317520667,Gaia DR2 4483640815570090368,Transit,2015,Ground,7500,0.806,1.030114414
KELT-17 b,KELT-17,TIC 6893917,Gaia DR2 651935220461650560,Transit,2016,Ground,7454,0.876,1.029404145
HAT-P-69 b,HAT-P-69,TIC 379929661,Gaia DR2 3080104185367102592,Transit,2019,Ground,7394,1,1.028471091
51 Eri b,51 Eri,TIC 298810162,Gaia DR2 3205095125321700480,Imaging,2015,Ground,7295,0.752,1.026914871
HR 8799 c,HR 8799,TIC 245368902,Gaia DR2 2832463659640297472,Imaging,2008,Ground,7204.58,0.733,1.02547496
HR 8799 b,HR 8799,TIC 245368902,Gaia DR2 2832463659640297472,Imaging,2008,Ground,7204.58,0.733,1.02547496
HATS-58 A b,HATS-58 A,TIC 21113347,Gaia DR2 6128363666439822208,Transit,2019,Ground,7175,0.689,1.024999981
KIC 7917485 b,KIC 7917485,TIC 268924604,Gaia DR2 2075978592919858432,Pulsation Timing Variations,2016,Space,7067,0.996,1.023248997
GPX-1 b,GPX-1,TIC 245392284,Gaia DR2 457317534880081152,Transit,2021,Ground,7000,0.727,1.022149237
HAT-P-49 b,HAT-P-49,TIC 99224131,Gaia DR2 1835842749465226368,Transit,2014,Ground,6820,0.814,1.019141705
HD 2685 b,HD 2685,TIC 267263253,Gaia DR2 4684205720883329920,Transit,2019,Space,6801,0.668,1.018819624
KELT-7 b,KELT-7,TIC 367366318,Gaia DR2 181908842994567936,Transit,2015,Ground,6789,0.758,1.01861574
KELT-18 b,KELT-18,TIC 293687315,Gaia DR2 1612165353793791488,Transit,2017,Ground,6670,0.813,1.016574158
HATS-66 b,HATS-66,TIC 52689469,Gaia DR2 5582647836223843840,Transit,2018,Ground,6626,0.767,1.015810051
HAT-P-14 b,HAT-P-14,TIC 101721385,Gaia DR2 1340497608486742400,Transit,2010,Ground,6600,0.563,1.015356144
HATS-67 b,HATS-67,TIC 272212970,Gaia DR2 6144060260072337024,Transit,2018,Ground,6594,0.547,1.015251143
HATS-39 b,HATS-39,TIC 112604564,Gaia DR2 5605481703444311040,Transit,2018,Ground,6572,0.64,1.014865317
HAT-P-6 b,HAT-P-6,TIC 176899385,Gaia DR2 1925321658546436352,Transit,2007,Ground,6570,0.553,1.014830178
HATS-64 b,HATS-64,TIC 189625051,Gaia DR2 5632704511826797824,Transit,2018,Ground,6554,0.867,1.014548681
TOI-2109 b,TOI-2109,TIC 392476080,Gaia DR2 4558177980120149632,Transit,2021,Space,6540,0.673,1.014301806
HATS-56 b,HATS-56,TIC 272213425,Gaia DR2 6144125887172751232,Transit,2019,Ground,6536,0.898,1.014231173
TOI-3362 b,TOI-3362,TIC 464300749,Gaia DR2 5351820556994135296,Transit,2021,Space,6532,0.739,1.014160497
KELT-1 b,KELT-1,TIC 432549364,Gaia DR2 2881784280929695360,Transit,2012,Ground,6518,0.542,1.013912789
KELT-24 b,KELT-24,TIC 349827430,Gaia DR2 1076970406751899008,Transit,2019,Ground,6509,0.565,1.013753268
DMPP-2 b,DMPP-2,TIC 32432767,Gaia DR2 5017319806652067072,Radial Velocity,2019,Ground,6500,0.104,1.013593526
TOI-163 b,TOI-163,TIC 179317684,Gaia DR2 4651366259202463104,Transit,2019,Space,6495,0.636,1.013504684
HD 103774 b,HD 103774,TIC 180205814,Gaia DR2 3574907305749250432,Radial Velocity,2013,Ground,6489,0.544,1.013397984
HD 106906 b,HD 106906,TIC 390472975,Gaia DR2 6072902994276659200,Imaging,2013,Ground,6473.79,0.853,1.013127057
tau Boo b,tau Boo,TIC 72506701,Gaia DR2 1244571953471006720,Radial Velocity,1996,Ground,6466.27,0.505,1.012992873
TOI-558 b,TOI-558,TIC 207110080,Gaia DR2 4727755005637190016,Transit,2021,Space,6466,0.547,1.012988052
HATS-40 b,HATS-40,TIC 172598832,Gaia DR2 2894378838731535872,Transit,2018,Ground,6460,0.903,1.012880873
TOI-640 b,TOI-640,TIC 147977348,Gaia DR2 5580554052549277056,Transit,2021,Space,6460,0.834,1.012880873
WASP-121 b,WASP-121,TIC 22529346,Gaia DR2 5565050255701441664,Transit,2016,Ground,6459,0.519,1.012863001
HAT-P-64 b,HAT-P-64,TIC 455036659,Gaia DR2 3279418602369232000,Transit,2021,Ground,6457,0.668,1.012827247
HATS-45 b,HATS-45,TIC 4616072,Gaia DR2 2926039005480063616,Transit,2018,Ground,6450,0.425,1.012702021
HAT-P-33 b,HAT-P-33,TIC 239154970,Gaia DR2 893550942158776832,Transit,2011,Ground,6446,0.618,1.012630402
HAT-P-34 b,HAT-P-34,TIC 278348461,Gaia DR2 1810218734055374720,Transit,2011,Ground,6442,0.56,1.012558739
HATS-27 b,HATS-27,TIC 248111245,Gaia DR2 6134228079203074176,Transit,2016,Ground,6438,0.669,1.012487032
WASP-18 b,WASP-18,TIC 100100827,Gaia DR2 4955371367334610048,Transit,2009,Ground,6432,0.428,1.012379387
HAT-P-39 b,HAT-P-39,TIC 14770122,Gaia DR2 3169391577586325120,Transit,2012,Ground,6430,0.607,1.012343483
